faction|name|ability|tags
Arborec|Letani Ospha|ACTION: Exhaust this card and choose a player's non-fighter ship; that player may replace that ship with one from their reinforcements that costs up to 2 more than the replaced ship.|agent, leader
Argent|Trillossa Aun Mirik|When a player produces ground forces in a system: You may exhaust this card; that player may place those units on any planets they control in that system and any adjacent systems.|agent, leader
Letnev|Viscount Unlenn|At the start of a space combat round, you may exhaust this card to choose 1 ship in the active system. That ship rolls 1 additional die during this combat round.|agent, leader
Saar|CaptaIn Mendosa|After a player activates a system: You may exhaust this card to increase the move value of 1 of that player's ships to match the move value of the ship on the game board that has the highest move value|agent, leader
Keleres|Xander Alexin Victori III|At any time: You may exhaust this card to allow any player to spend commodities as if they were trade goods.|agent, leader
Muaat|Umbat|ACTION: Exhaust this card to choose a player. That player may produce up to 2 units that each have a cost of 4 or less in a system that contains one of their War Suns or their flagship.|agent, leader
Hacan|Carth of Golden Sands|During the action phase: You may exhaust this card to gain 2 commodities or replenish another player's commodities.|agent, leader
Empyrean|Acamar|After a player moves ships into a system that does not contain any planets: You may exhaust this card; that player gains 1 command token.|agent, leader
Sol|Evelyn Delouis|At the start of a ground combat round: You may exhaust this card to choose 1 ground force in the active system; that ground force rolls 1 additional die during this combat round.|agent, leader
Creuss|Emisary Taivra|After a player activates a system that contains a non-delta wormhole: You may exhaust this card; if you do, that system is adjacent to all other systems that contain a wormhole during this tactical action|agent, leader
L1Z1X|I48S|After a player activates a system: You may exhaust this card to allow that player to replace 1 of their infantry in the active system with 1 mech from their reinforcements.|agent, leader
Mahact|Jae Mir Kan|When you would spend a command token during the secondary ability of a strategic action: You may exhaust this card to remove 1 of the active player's command tokens from the board and use it instead.|agent, leader
Mentak|Suffi An|After the PILLAGE faction ability is used against another player: You may exhaust this card; if you do, you and that player each draw 1 action card.|agent, leader
Naalu|Z’eu Omega|ACTION: Exhaust this card and choose a player; that player may perform a tactical action in a non-home system without placing a command token; that system still counts as being activated.|agent, leader
Naaz-Rokha|Garv and Gunn|At the end of a player's turn: You may exhaust this card to allow that player to explore 1 of their planets.|agent, leader
Nekro|Nekro Malleon|During the action phase: You may exhaust this card to choose a player; that player may discard 1 action card or spend 1 command token from their command sheet to gain 2 trade goods.|agent, leader
Nomad|Artuno the Betrayer|When you gain trade goods from the supply: You may exhaust this card to place an equal number of trade goods on this card. When this card readies, gain the trade goods on this card.|agent, leader
Nomad|Field Marshall Mercer|At the end of a player's turn: You may exhaust this card to allow that player to remove up to 2 of their ground forces from the game board and place them on planets they control in the active system.|agent, leader
Nomad|The Thundarian|"After the ""Roll Dice"" step of combat: You may exhaust this card. If you do, hits are not assigned to either players' units. Return to the start of this combat round's ""Roll Dice"" step."|agent, leader
Sardaak|T’ro|At the end of a player's tactical action: You may exhaust this card; if you do, that player may place 2 infantry from their reinforcements on a planet they control in the active system|agent, leader
Titans|Tellurian|When a hit is produced against a unit: You may exhaust this card to cancel that hit.|agent, leader
Jol-Nar|Doctor Sucaban|When a player spends resources to research: You may exhaust this card to allow that player to remove any number of their infantry from the game board. For each unit removed, reduce the resources spent by 1.|agent, leader
Vuil’Raith|The Stillness of Stars|After another player replenishes commodities: You may exhaust this card to convert their commodities to trade goods and capture 1 unit from their reinforcements that has a cost equal to or lower than their commodity value.|agent, leader
Winnu|Berekar Berekan|When 1 or more of a player's units use PRODUCTION: You may exhaust this card to reduce the combined cost of the produced units by 2.|agent, leader
Xxcha|Ggrucoto Rinn|ACTION: Exhaust this card to ready any planet; if that planet is in a system that is adjacent to a planet you control, you may remove 1 infantry from that planet and return it to its reinforcements.|agent, leader
Yin|Brother Milor Omega|After a player's unit is destroyed: You may exhaust this card to allow that player to place 2 fighters in the destroyed unit's system if it was a ship, or 2 infantry on its planet if it was a ground force.|agent, leader
Yssaril|Clever Clever Sru|This card has the text ability of each other player's agent, even if that agent is exhausted.|agent, leader
